City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cacapava Do Sul,BR,71.2,clear sky,-30.5122,-53.4914,Hotel Portal
2,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
3,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
5,Port Elizabeth,ZA,70.11,light rain,-33.918,25.5701,39 On Nile Guest House
6,Santa Maria,BR,81.7,broken clouds,-29.6842,-53.8069,Hotel Morotin
10,Tsiroanomandidy,MG,72.19,overcast clouds,-18.7667,46.0333,Hotel Ravinala
11,Cape Town,ZA,65.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
13,Kavaratti,IN,81.61,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
14,Tacuati,PY,74.26,overcast clouds,-23.45,-56.5833,
16,Port Alfred,ZA,71.69,overcast clouds,-33.5906,26.891,The Halyards Hotel
21,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
23,Alice Town,BS,77.85,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
24,Santa Cruz,BO,74.66,light rain,-17.8,-63.1667,Aviador Hotel Boutique
26,Japura,ID,75.97,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
30,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Bull Savanna,JM,74.34,clear sky,17.8868,-77.5902,Big Red's
33,Castro,BR,67.1,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
37,Malindi,KE,78.15,light rain,-3.2175,40.1191,African House Resort
39,Cidreira,BR,71.55,clear sky,-30.1811,-50.2056,Hotel Castelo
45,Geraldton,AU,72.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
48,Adrar,MR,65.48,broken clouds,20.5022,-10.0711,
49,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Hithadhoo,MV,80.85,scattered clouds,-0.6,73.0833,Scoop Guest House
54,Iquitos,PE,82.44,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
58,Makokou,GA,71.06,overcast clouds,0.5738,12.8642,Motel des voyageurs
59,Inirida,CO,77.45,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
63,Gat,IL,70.92,overcast clouds,31.61,34.7642,OlusHome
65,East London,ZA,71.96,overcast clouds,-33.0153,27.9116,Tu Casa
67,Curillo,CO,75.69,broken clouds,1.0333,-75.9191,CASA CLUB
68,Gamba,GA,75.31,light rain,-2.65,10.0,
72,Sao Luis Do Quitunde,BR,78.24,few clouds,-9.3183,-35.5611,Sao dos satos lins
73,Pangoa,PE,70.84,overcast clouds,-12.1167,-73.0,
75,Vila Velha,BR,78.94,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
77,Chuy,UY,67.68,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
78,Santo Antonio Do Sudoeste,BR,70.86,overcast clouds,-26.0736,-53.7253,Hotel Frontera
79,Chabahar,IR,70.43,few clouds,25.2919,60.643,هتل گدروشیا
80,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
82,Dingle,PH,81.88,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
83,Malanje,AO,65.08,overcast clouds,-9.5402,16.341,Hotel Ginga
93,Sao Domingos Do Maranhao,BR,76.73,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
95,Oriximina,BR,76.91,light rain,-1.7656,-55.8661,Pousada Tia Amélia
96,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
